survey_year,company_size,num_employees,annual_revenue_usd_millions,company_age,ai_adoption_rate,ai_adoption_stage,years_using_ai,num_ai_tools_used,ai_projects_active,ai_training_hours,ai_budget_percentage,ai_maturity_score,ai_failure_rate,ai_investment_per_employee,regulatory_compliance_score,data_privacy_level,ai_ethics_committee,ai_risk_management_score,remote_work_percentage,employee_satisfaction_score,task_automation_rate,time_saved_per_week,productivity_change_percent,jobs_displaced,jobs_created,reskilled_employees,revenue_growth_percent,innovation_score,quarter_sin,quarter_cos,country_Australia,country_Brazil,country_Canada,country_Chile,country_China,country_Colombia,country_Egypt,country_France,country_Germany,country_India,country_Indonesia,country_Italy,country_Japan,country_Kenya,country_Malaysia,country_Netherlands,country_New Zealand,country_Nigeria,country_Philippines,country_Poland,country_Singapore,country_South Africa,country_South Korea,country_Spain,country_Sweden,country_Thailand,country_UK,country_USA,country_Vietnam,region_Asia,region_Europe,region_North America,region_Oceania,region_South America,industry_Consulting,industry_Education,industry_Finance,industry_Healthcare,industry_Logistics,industry_Manufacturing,industry_Retail,industry_Technology,ai_primary_tool_Claude,ai_primary_tool_Custom Internal AI,ai_primary_tool_Gemini,ai_primary_tool_GitHub Copilot,ai_primary_tool_Other,ai_use_case_Fraud Detection,ai_use_case_HR Automation,ai_use_case_Marketing Automation,ai_use_case_Medical Diagnostics,ai_use_case_Predictive Maintenance,ai_use_case_Software Development,ai_use_case_Supply Chain Optimization,cost_reduction_percent,customer_satisfaction
2025,0,74,6.37,28,26.96,1,4,3,3,0.0,3.87,0.102,40.0,3334.17,70,1,0,49,45.71,6.4,20.38,4.77,0.0,3,2,3,2.54,41,1.2246467991473532e-16,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,4.61,4.67
2026,1,578,496.23,35,30.56,1,8,2,8,30.83,7.32,0.359,20.38,62844.19,56,1,1,68,21.35,7.5,21.7,6.13,11.73,34,16,59,9.34,66,-1.0,-1.8369701987210294e-16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14.03,5.49
2024,0,76,45.87,24,25.96,1,6,2,7,15.95,5.86,0.261,28.41,35345.29,64,1,0,62,48.46,4.85,0.56,1.54,2.61,0,3,4,4.22,40,-1.0,-1.8369701987210294e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1.95,5.33
2024,1,474,300.29,5,18.37,1,1,3,3,6.16,4.96,0.142,28.23,31399.03,74,2,0,48,44.88,4.65,11.0,2.71,5.76,15,9,20,-0.33,47,1.0,6.123233995736766e-17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4.12,5.13
2026,0,35,7.45,28,37.27,2,7,3,1,29.42,7.67,0.241,22.08,16319.12,78,0,1,63,25.84,5.89,29.16,8.31,8.1,3,1,3,0.53,56,-1.0,-1.8369701987210294e-16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.27,5.5
2026,1,606,64.93,13,35.55,2,6,2,4,15.93,9.09,0.254,23.64,9737.96,58,1,1,67,55.01,5.21,13.93,8.01,10.56,20,35,35,6.31,40,-1.0,-1.8369701987210294e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1.08,6.77
2024,0,55,8.38,32,29.23,1,3,3,1,6.2,4.18,0.098,40.0,6365.14,61,2,0,43,10.21,5.44,12.19,5.24,1.49,1,2,2,-4.32,57,-1.0,-1.8369701987210294e-16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.74,5.18
2026,2,3478,3523.83,22,45.51,2,5,4,10,30.33,11.29,0.444,37.45,114394.07,73,2,0,53,59.94,5.54,17.0,6.42,11.16,80,187,202,2.92,58,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2.72,5.4
2025,1,279,148.35,7,45.77,2,7,2,7,35.06,8.36,0.374,21.76,44430.12,75,2,1,59,45.48,5.73,36.52,5.94,5.24,25,13,15,-2.29,55,1.2246467991473532e-16,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,13.68,5.51
2026,0,46,24.8,13,35.77,2,4,1,2,15.13,7.72,0.199,20.31,41603.5,83,1,0,46,29.96,4.75,32.95,9.65,5.9,3,2,3,8.99,41,-1.0,-1.8369701987210294e-16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.36,4.63
